class	Actinobacteria	Bacteroidetes	Euryarchaeota	Fibrobacteres	Firmicutes	Proteobacteria	sample
positive	29.44639	3.65076	0.06549	2.64983	47.28385	14.56322	SH1
positive	0.33069	67.04758	1.09648	1.29773	15.03387	14.27621	SH2
positive	28.28599	9.64255	0.83844	23.74784	34.4556	0.8659	SH3
positive	18.43079	1.14061	0.63235	0	75.72395	1.70949	SH4
positive	23.10344	4.69695	0.30185	0	21.07188	50.45736	SH5
positive	43.84606	1.85002	0.15218	0.26474	47.53632	5.9225	SH6
positive	15.47338	10.38625	6.24522	0	63.17452	1.23038	SH7
positive	18.46304	0.06556	0.73211	0.62306	71.22838	0.14976	SH8
positive	11.39897	0.13376	5.34199	0	58.25473	23.40878	SH9
positive	0.02799	3.16325	1.52477	4.237	41.52262	49.37667	SH10
positive	3.59341	18.75665	10.39128	0	63.92226	1.35142	SH11
positive	1.73152	0.36432	2.7527	8.67996	53.10062	7.55182	SH12
positive	0.2712	1.99202	4.18472	0	92.99955	0.31182	SH13
positive	9.79812	13.88973	2.16612	0	28.25804	45.8047	SH14
positive	0.26381	7.68925	10.49374	0	20.21784	55.35086	SH15
positive	0.46978	6.33371	10.60003	22.97415	18.89674	24.78935	SH16
positive	0.96645	1.78107	21.1713	15.51941	39.57221	17.33261	SH17
positive	0.04846	0.95642	10.46878	0	14.11295	61.97549	SH18
positive	7.16187	17.00238	23.99156	0.04601	21.47956	27.91742	SH19
positive	0.00467	6.088	24.41273	0	32.911	34.68124	SH20
positive	0.33405	7.02741	6.75453	6.08356	46.0273	26.15729	SH21
positive	0.5692	4.06084	9.531	11.4439	26.04619	38.94243	SH22
positive	9.23762	18.89853	21.54565	1.11895	24.07245	23.23326	SH23
positive	0.04671	19.55671	2.71617	2.6792	25.52505	46.63037	SH24
positive	23.84933	0.83649	3.74181	0	56.15629	15.25202	SH25
positive	0.30654	3.33377	14.28886	0.33838	22.93154	58.48937	SH26
positive	9.5371	44.13423	7.45212	8.8338	21.07609	2.88248	SH27
positive	0.14462	11.319	20.25541	0	34.97213	28.20898	SH28
positive	0.70721	4.54102	8.95904	11.01315	8.14564	48.71631	SH29
positive	14.70901	12.4515	21.00303	13.27786	22.52702	13.29617	SH30
control	18.7198	0.10846	1.45593	0	79.48469	0.22778	YK31
control	24.71902	3.7899	0.48924	0	68.33752	2.50022	YK32
control	34.49861	2.87156	0.22668	0	60.92452	1.09686	YK33
control	0	33.41882	4.11503	0	48.72845	11.02512	YK34
control	0.01411	5.39194	8.86837	0	47.3119	35.36606	YK35
control	57.72626	0.00363	0.10448	0	42.11868	0.04696	YK36
control	10.14153	0.03817	0.59774	0.22244	84.37483	4.44959	YK37
control	4.52746	39.64098	1.63118	31.97504	17.0121	3.72496	YK38
control	2.06596	31.8079	0.36495	0	19.96866	0.05771	YK39
control	6.87444	0.04149	0.66321	0	89.17222	0.30154	YK40
control	55.53714	0.71101	0.30601	0.34035	42.03879	0.08445	YK41
control	10.7056	2.96404	1.52647	0	43.97014	35.48956	YK42
control	0.92028	20.49661	19.02133	4.21791	23.16688	30.61457	YK43
control	0.86283	18.87642	33.27286	5.17111	27.89778	10.49948	YK44
control	0.07319	25.0339	19.1999	9.05351	27.43074	10.38713	YK45
control	10.62976	2.21683	18.9901	14.63913	24.94442	13.77127	YK46
control	0.0369	11.73475	4.20471	14.5066	21.45951	44.86243	YK47
control	0.31793	4.86157	27.01677	0	19.86761	43.2159	YK48
control	2.79116	13.76316	2.79499	11.64181	15.76939	51.24003	YK49
control	0	25.76593	1.47715	9.67182	20.12696	9.70477	YK50
control	3.08496	42.34355	3.63294	3.03289	21.41832	22.23548	YK51
control	0	7.90204	15.42387	5.64353	31.07872	33.74442	YK52
control	0.42156	7.20482	6.25966	34.52878	10.95175	35.05804	YK53
control	0.32264	9.61386	10.13521	0.6088	21.4553	32.73254	YK54
control	7.38121	40.83853	2.42383	33.07544	9.77102	4.79681	YK55
control	5.88445	7.32205	27.70471	0	44.53997	10.09905	YK56
control	0.14466	26.06218	10.14945	25.92164	11.55349	24.36427	YK57
control	25.30296	2.99195	2.30094	18.70453	3.49885	40.87727	YK58
control	0	8.06823	9.98578	12.19342	14.90846	45.96022	YK59
control	0	6.38997	12.47935	19.05368	31.89177	28.39399	YK60
