Pathway	SH1	SH2	SH3	SH4	SH5	SH6	SH7	SH8	SH9	SH10	SH11	SH12	SH13	SH14	SH15	SH16	SH17	SH18	SH19	SH20	SH21	SH22	SH23	SH24	SH25	SH26	SH27	SH28	SH29	SH30	YK31	YK32	YK33	YK34	YK35	YK36	YK37	YK38	YK39	YK40	YK41	YK42	YK43	YK44	YK45	YK46	YK47	YK48	YK49	YK50	YK51	YK52	YK53	YK54	YK55	YK56	YK57	YK58	YK59	YK60
1CMET2-PWY: folate transformations III (E. coli)	0.00587981	0.00413497	0.00613766	0.00779209	0.00434876	0.00618285	0.00710978	0.00746461	0.00649757	0.00473787	0.00662611	0.00517169	0.0068163	0.00586139	0.0045977	0.00496243	0.00411463	0.00468993	0.00461966	0.00422348	0.0040716	0.00454897	0.00485225	0.00424002	0.00628074	0.00582738	0.00755904	0.00369142	0.00402975	0.00401887	0.00677139	0.0052974	0.00689911	0.00348984	0.00398581	0.0072284	0.00586207	0.0054036	0.00572945	0.0075658	0.00634916	0.00708599	0.00377942	0.00377878	0.00400484	0.00529749	0.00377993	0.00346136	0.00382317	0.00339643	0.00524682	0.00380585	0.0040261	0.00443112	0.00596248	0.00350569	0.00434883	0.00549488	0.00387971	0.00435554
1CMET2-PWY: folate transformations III (E. coli)|g__Acinetobacter.s__Acinetobacter_lwoffii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.62454e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.09921e-5	0	0	3.48193e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Clostridium.s__Clostridium_bornimense	2.00106e-5	0	0	0	0	0	0	6.26121e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.58643e-4	0	0	0	0	1.09324e-4	0	0	0	0	6.10671e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Escherichia.s__Escherichia_coli	1.39173e-4	0	0	0	0.00108195	1.24407e-4	0	0	0	9.22688e-4	0	2.14832e-4	0	8.11608e-5	8.20643e-4	2.1337e-4	2.53375e-4	9.85981e-4	4.84472e-4	5.87502e-4	3.33511e-4	1.00313e-4	1.89266e-4	4.7869e-4	0	1.87732e-4	0	2.31942e-4	8.06255e-4	1.94965e-4	0	0	0	0	4.20944e-4	0	0	3.19983e-5	0	0	0	0	0	0	0	2.58917e-4	7.15559e-4	8.74512e-5	0	2.57384e-4	2.10862e-4	4.98843e-4	4.6368e-4	0	6.59842e-5	8.62793e-5	0	0	1.63677e-4	0
1CMET2-PWY: folate transformations III (E. coli)|g__Prolinoborus.s__Prolinoborus_fasciculus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.93646e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Rummeliibacillus.s__Rummeliibacillus_sp_POC4	0	0	0	0	0	2.01568e-5	0	0	8.86969e-5	0	0	0	7.50932e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.30404e-5	0	0	0	0	0	0	0	0	0	5.49511e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|unclassified	0.00459426	0.003745	0.00450659	0.0062752	0.0014674	0.00425761	0.0063736	0.00466266	0.00557797	0.00246924	0.00551569	0.00281254	0.00357691	0.00438837	0.00260599	0.00370058	0.00310228	0.00187221	0.00222511	0.002545	0.00212626	0.00372317	0.00356671	0.0023103	0.00463538	0.00381637	0.00750057	0.00237681	0.00211382	0.00324736	0.00357922	0.00390285	0.00484692	0.00293352	9.96429e-4	0.00366751	0.00454246	0.00428981	0.0053531	0.00566908	0.00416871	0.00543361	0.00332544	0.00335353	0.00382543	0.0032914	0.00165358	0.00236543	0.00377573	0.00245357	0.00476608	0.00239027	0.00250644	0.00377442	0.00459464	0.00260161	0.0043116	0.0037624	0.00317926	0.00390117
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	6.48595e-5	4.2194e-5	0	0	4.46215e-4	7.90214e-5	0	0	0	3.60199e-4	2.55514e-5	1.64447e-4	0	4.7243e-5	4.15428e-4	1.27735e-4	1.59366e-4	6.43108e-4	2.80355e-4	3.29263e-4	1.81315e-4	8.63273e-5	1.18045e-4	1.84591e-4	3.80385e-5	0	0	1.66424e-4	5.52444e-4	5.76574e-5	0	3.57736e-5	0	2.9371e-5	1.26838e-4	0	0	5.73867e-5	0	0	0	0	0	0	0	1.25123e-4	2.7599e-4	6.96878e-5	0	1.03181e-4	1.37279e-4	2.34764e-4	2.26021e-4	0	5.94139e-5	7.91631e-5	0	0	9.64816e-5	0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation|g__Escherichia.s__Escherichia_coli	5.37998e-5	0	0	0	4.36999e-4	6.89131e-5	0	0	0	2.21361e-4	0	1.3678e-4	0	2.42288e-5	3.90699e-4	1.2643e-4	1.05718e-4	4.14523e-4	2.65644e-4	2.98765e-4	1.46026e-4	5.5864e-5	1.12634e-4	1.78371e-4	2.49083e-5	0	0	1.54426e-4	5.38895e-4	4.4175e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.52531e-5	2.51551e-4	5.82056e-5	0	9.89188e-5	1.20305e-4	2.30291e-4	2.15388e-4	0	0	0	0	0	6.47942e-5	0
