# Pathway	# Pathway	SH1	SH2	SH3	SH4	SH5	SH6	SH7	SH8	SH9	SH10	SH11	SH12	SH13	SH14	SH15	SH16	SH17	SH18	SH19	SH20	SH21	SH22	SH23	SH24	SH25	SH26	SH27	SH28	SH29	SH30	YK31	YK32	YK33	YK34	YK35	YK36	YK37	YK38	YK39	YK40	YK41	YK42	YK43	YK44	YK45	YK46	YK47	YK48	YK49	YK50	YK51	YK52	YK53	YK54	YK55	YK56	YK57	YK58	YK59	YK60
1CMET2-PWY: folate transformations III (E. coli)	1CMET2-PWY: folate transformations III (E. coli)	0.00587981	0.00413497	0.00613766	0.00779209	0.00434876	0.00618285	0.00710978	0.00746461	0.00649757	0.00473787	0.00662611	0.00517169	0.0068163	0.00586139	0.0045977	0.00496243	0.00411463	0.00468993	0.00461966	0.00422348	0.0040716	0.00454897	0.00485225	0.00424002	0.00628074	0.00582738	0.00755904	0.00369142	0.00402975	0.00401887	0.00677139	0.0052974	0.00689911	0.00348984	0.00398581	0.0072284	0.00586207	0.0054036	0.00572945	0.0075658	0.00634916	0.00708599	0.00377942	0.00377878	0.00400484	0.00529749	0.00377993	0.00346136	0.00382317	0.00339643	0.00524682	0.00380585	0.0040261	0.00443112	0.00596248	0.00350569	0.00434883	0.00549488	0.00387971	0.00435554
1CMET2-PWY: folate transformations III (E. coli)|g__Acinetobacter.s__Acinetobacter_lwoffii	1CMET2-PWY: folate transformations III (E. coli)|g__Acinetobacter.s__Acinetobacter_lwoffii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.62454E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_xylanisolvens	1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.09921E-05	0	0	3.48193E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Clostridium.s__Clostridium_bornimense	1CMET2-PWY: folate transformations III (E. coli)|g__Clostridium.s__Clostridium_bornimense	2.00106E-05	0	0	0	0	0	0	6.26121E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000158643	0	0	0	0	0.000109324	0	0	0	0	6.10671E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Escherichia.s__Escherichia_coli	1CMET2-PWY: folate transformations III (E. coli)|g__Escherichia.s__Escherichia_coli	0.000139173	0	0	0	0.00108195	0.000124407	0	0	0	0.000922688	0	0.000214832	0	8.11608E-05	0.000820643	0.00021337	0.000253375	0.000985981	0.000484472	0.000587502	0.000333511	0.000100313	0.000189266	0.00047869	0	0.000187732	0	0.000231942	0.000806255	0.000194965	0	0	0	0	0.000420944	0	0	3.19983E-05	0	0	0	0	0	0	0	0.000258917	0.000715559	8.74512E-05	0	0.000257384	0.000210862	0.000498843	0.00046368	0	6.59842E-05	8.62793E-05	0	0	0.000163677	0
1CMET2-PWY: folate transformations III (E. coli)|g__Prolinoborus.s__Prolinoborus_fasciculus	1CMET2-PWY: folate transformations III (E. coli)|g__Prolinoborus.s__Prolinoborus_fasciculus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.93646E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Rummeliibacillus.s__Rummeliibacillus_sp_POC4	1CMET2-PWY: folate transformations III (E. coli)|g__Rummeliibacillus.s__Rummeliibacillus_sp_POC4	0	0	0	0	0	2.01568E-05	0	0	8.86969E-05	0	0	0	7.50932E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.30404E-05	0	0	0	0	0	0	0	0	0	5.49511E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|unclassified	1CMET2-PWY: folate transformations III (E. coli)|unclassified	0.00459426	0.003745	0.00450659	0.0062752	0.0014674	0.00425761	0.0063736	0.00466266	0.00557797	0.00246924	0.00551569	0.00281254	0.00357691	0.00438837	0.00260599	0.00370058	0.00310228	0.00187221	0.00222511	0.002545	0.00212626	0.00372317	0.00356671	0.0023103	0.00463538	0.00381637	0.00750057	0.00237681	0.00211382	0.00324736	0.00357922	0.00390285	0.00484692	0.00293352	0.000996429	0.00366751	0.00454246	0.00428981	0.0053531	0.00566908	0.00416871	0.00543361	0.00332544	0.00335353	0.00382543	0.0032914	0.00165358	0.00236543	0.00377573	0.00245357	0.00476608	0.00239027	0.00250644	0.00377442	0.00459464	0.00260161	0.0043116	0.0037624	0.00317926	0.00390117
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	6.48595E-05	0.000042194	0	0	0.000446215	7.90214E-05	0	0	0	0.000360199	2.55514E-05	0.000164447	0	0.000047243	0.000415428	0.000127735	0.000159366	0.000643108	0.000280355	0.000329263	0.000181315	8.63273E-05	0.000118045	0.000184591	3.80385E-05	0	0	0.000166424	0.000552444	5.76574E-05	0	3.57736E-05	0	0.000029371	0.000126838	0	0	5.73867E-05	0	0	0	0	0	0	0	0.000125123	0.00027599	6.96878E-05	0	0.000103181	0.000137279	0.000234764	0.000226021	0	5.94139E-05	7.91631E-05	0	0	9.64816E-05	0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation|g__Escherichia.s__Escherichia_coli	3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation|g__Escherichia.s__Escherichia_coli	5.37998E-05	0	0	0	0.000436999	6.89131E-05	0	0	0	0.000221361	0	0.00013678	0	2.42288E-05	0.000390699	0.00012643	0.000105718	0.000414523	0.000265644	0.000298765	0.000146026	0.000055864	0.000112634	0.000178371	2.49083E-05	0	0	0.000154426	0.000538895	0.000044175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.52531E-05	0.000251551	5.82056E-05	0	9.89188E-05	0.000120305	0.000230291	0.000215388	0	0	0	0	0	6.47942E-05	0
