RowNames	SH1	SH2	SH3	SH4	SH5	SH6	SH7	SH8	SH9	SH10	SH11	SH12	SH13	SH14	SH15	SH16	SH17	SH18	SH19	SH20	SH21	SH22	SH23	SH24	SH25	SH26	SH27	SH28	SH29	SH30	YK31	YK32	YK33	YK34	YK35	YK36	YK37	YK38	YK39	YK40	YK41	YK42	YK43	YK44	YK45	YK46	YK47	YK48	YK49	YK50	YK51	YK52	YK53	YK54	YK55	YK56	YK57	YK58	YK59	YK60
k__Bacteria	99.93451	98.90352	99.16157	99.36765	99.59058	99.84783	93.75477	99.26788	94.65027	98.47523	89.60872	97.2473	95.81528	97.83388	89.50627	89.39997	78.82869	89.25724	76.00845	75.58727	93.24547	90.469	78.45434	97.28384	96.25819	85.71114	92.54787	79.74457	91.04096	78.99697	98.54407	99.51076	99.77332	95.88497	91.10302	99.89552	99.40226	98.30453	99.63506	99.33679	99.694	98.47352	80.97866	66.72714	80.80011	81.0099	95.79528	72.98322	97.20501	98.1619	96.36705	84.57614	93.74034	89.8648	97.5708	72.29528	89.85055	97.69906	90.01422	87.52064
k__Archaea	0.06549	1.09648	0.83843	0.63235	0.40942	0.15217	6.24523	0.73212	5.34198	1.52477	10.39128	2.7527	4.18472	2.16612	10.49373	10.60003	21.17131	10.46879	23.99155	24.41273	6.75453	9.531	21.54566	2.71616	3.74181	14.28886	7.45213	20.25543	8.95904	21.00303	1.45593	0.48924	0.22668	4.11503	8.89698	0.10448	0.59774	1.69547	0.36494	0.66321	0.306	1.52648	19.02134	33.27286	19.19989	18.9901	4.20472	27.01678	2.79499	1.8381	3.63295	15.42386	6.25966	10.1352	2.4292	27.70472	10.14945	2.30094	9.98578	12.47936
k__Bacteria|p__Proteobacteria	14.56322	14.2762	0.8659	1.70949	50.45736	5.9225	1.23038	0.14976	23.40878	49.37667	1.35142	7.55181	0.31183	45.8047	55.35085	24.78937	17.33262	61.9755	27.91743	34.68126	26.1573	38.94243	23.23327	46.63038	15.25203	58.48937	2.88248	28.20898	48.71631	13.29617	0.22777	2.50022	1.09686	11.02512	35.36607	0.04696	4.44959	3.72497	0.05771	0.30154	0.08444	35.48957	30.61458	10.49948	10.38712	13.77127	44.86243	43.21591	51.24003	9.70478	22.2355	33.74441	35.05805	32.73255	4.79681	10.09906	24.36427	40.87728	45.96021	28.39399
k__Bacteria|p__Firmicutes	47.28383	15.03387	34.45561	75.72395	21.07188	47.53633	63.1745	71.22837	58.25472	41.52264	63.92227	53.10058	92.99959	28.25806	20.21783	18.89677	39.5722	14.11293	21.47954	32.91099	46.02731	26.04619	24.07247	25.52506	56.15633	22.93153	21.07605	34.97212	8.14564	22.52703	79.4847	68.33752	60.92453	48.72844	47.31187	42.11867	84.37483	17.01209	19.96865	89.17219	42.0388	43.97014	23.1669	27.8978	27.43075	24.94443	21.45952	19.86762	15.7694	20.12695	21.41832	31.07873	10.95173	21.45532	9.77102	44.53996	11.5535	3.49884	14.90846	31.89179
k__Bacteria|p__Fibrobacteres	2.64983	1.29773	23.74784	0	0	0.26474	0	0.62306	0	4.237	0	8.67996	0	0	0	22.97415	15.51941	0	0.04601	0	6.08356	11.4439	1.11895	2.6792	0	0.33838	8.83381	0	11.01315	13.27786	0	0	0	0	0	0	0.22244	31.97504	0	0	0.34035	0	4.21791	5.17111	9.05351	14.63913	14.5066	0	11.64181	9.67182	3.03289	5.64353	34.52878	0.6088	33.07544	0	25.92164	18.70453	12.19342	19.05368
k__Bacteria|p__Bacteroidetes	3.65078	67.04758	9.64254	1.14061	4.69696	1.85001	10.38626	0.06555	0.13376	3.16325	18.75665	0.36432	1.99202	13.88974	7.68926	6.33371	1.78106	0.95641	17.00238	6.08801	7.0274	4.06084	18.89852	19.55671	0.83649	3.33376	44.13422	11.31899	4.541	12.45149	0.10846	3.78989	2.87155	33.41882	5.39195	0.00363	0.03818	39.64098	31.8079	0.04149	0.71101	2.96404	20.49661	18.87642	25.03391	2.21685	11.73476	4.86157	13.76316	25.76593	42.34354	7.90204	7.20482	9.61384	40.83855	7.32205	26.06217	2.99194	8.06822	6.38996
k__Archaea|p__Euryarchaeota	0.06549	1.09648	0.83843	0.63235	0.30185	0.15217	6.24523	0.73212	5.34198	1.52477	10.39128	2.7527	4.18472	2.16612	10.49373	10.60003	21.17131	10.46879	23.99155	24.41273	6.75453	9.531	21.54566	2.71616	3.74181	14.28886	7.45213	20.25543	8.95904	21.00303	1.45593	0.48924	0.22668	4.11503	8.86837	0.10448	0.59774	1.63117	0.36494	0.66321	0.306	1.52648	19.02134	33.27286	19.19989	18.9901	4.20472	27.01678	2.79499	1.47715	3.63295	15.42386	6.25966	10.1352	2.42384	27.70472	10.14945	2.30094	9.98578	12.47936
k__Bacteria|p__Elusimicrobia	1.11735	0.89233	2.16368	2.36281	0	0	3.29771	0	0.5601	0.09151	0.47672	0.01556	0	0	0.46093	0.04103	0	4.02502	0.23126	0	1.17685	0.01985	0	0	0	0.03612	0	2.77019	0.40853	0	0	0	0	0	0	0	0	0.77553	0.85996	0	0	0	0.30101	0	0.9951	0.05559	0.02536	0	0	4.22947	1.48128	0	0.82213	0.52011	0.77403	0.13858	0.00263	0.16827	0	0
k__Bacteria|p__Kiritimatiellaeota	0	0	0	0	0	0.11899	0.01544	0	0	0.03821	0.03692	0.05783	0.00983	0	0.03312	0.31675	2.72299	0	0.12353	0.14738	0.27141	0.02516	0.01135	0	0	0	0	1.68863	0.16113	0.40143	0	0	0	0	2.18614	0	0	0.29165	0	0.77007	0	0	0.01783	1.06583	5.63978	0.68799	0.71054	0	0.07669	10.27481	0	0.64482	2.57999	0.42827	0.5335	1.05074	0.53683	0.38342	5.95488	0.18924
k__Bacteria|p__Actinobacteria	29.44639	0.33069	28.28599	18.43079	23.10344	43.84605	15.47338	18.46304	11.39898	0.02799	3.59341	1.73153	0.27119	9.79811	0.26381	0.46978	0.96645	0.04847	7.16187	0.00467	0.33405	0.5692	9.23762	0.04671	23.84933	0.30654	9.5371	0.14462	0.70722	14.70902	18.7198	24.71902	34.4986	0	0.01411	57.72626	10.14153	4.52746	2.06596	6.87444	55.53714	10.70559	0.92028	0.86283	0.0732	10.62977	0.0369	0.31794	2.79115	0	3.08496	0	0.42156	0.32264	7.38121	5.88445	0.14466	25.30296	0	0
k__Bacteria|p__Lentisphaerae	1.22311	0.02511	0	0	0.26095	0.11745	0.13802	0	0	0.00928	0	0.13863	0	0.05355	0.09081	0	0.62612	0.25131	0.44714	0	2.2562	0.06551	0	2.68848	0	0	0	0.00255	0	0.25191	0	0.16412	0	0.74792	0.71624	0	0	0.01189	0	0	0.00604	0	0.09087	0.09848	0.52544	0.51598	1.53469	0	0.08423	4.901	0	1.10151	0.20664	0.0959	0.03278	0.24652	0.141	0.09866	1.38697	0.09258
k__Bacteria|p__Candidatus_Saccharibacteria	0	0	0	0	0	0	0	0.00815	0.83008	0.00868	1.07139	0	0.23083	0.02972	0.06779	0.09496	0	0	0	0.01516	0	0	1.8112	0	0.03141	0.10119	0	0.18311	14.03101	0.20008	0	0	0.08838	0	0.03537	0	0.03911	0	0	0.03001	0	5.34417	0.06586	0.80825	0.0543	13.50737	0	0.00945	0	0	0	0	0.06208	0.01856	0	0	0.0124	0.01513	0.40643	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	11.59914	9.05924	0.46737	0	49.8548	5.16431	0	0.08994	21.76593	42.40715	1.03431	4.70017	0	44.46753	50.53517	14.78584	15.7587	57.1115	26.21068	34.26361	23.38149	35.86631	7.98519	31.97213	13.62556	57.19111	0	8.79243	39.29459	12.13052	0	2.50022	0	11.02512	19.90091	0	0.59181	3.44375	0.05771	0	0.0749	32.41901	0.75221	1.98197	8.21038	12.18681	32.72407	4.62569	51.17195	9.13026	20.10847	30.50543	16.82186	0.01891	4.3225	9.02862	2.9342	0.17474	10.63845	27.67218
k__Bacteria|p__Firmicutes|c__Bacilli	9.0427	4.33954	5.27136	0.0188	8.6607	3.34193	1.99666	1.28304	6.00688	28.2656	2.46729	34.20178	68.24466	3.09123	7.93726	1.9668	9.24754	3.92274	7.03838	1.6385	15.05777	21.67304	1.80725	18.56204	1.92125	0.48609	0.51069	9.73599	0.22239	3.18992	40.43821	16.03969	5.30002	10.21242	25.14871	0.04695	34.21569	10.24825	2.34068	16.48581	2.92564	13.94431	15.81319	2.39925	6.69876	3.2576	12.44397	10.22067	7.62036	11.32575	2.14379	6.5628	2.53783	13.76838	5.38627	29.29738	5.26938	0.20645	5.27325	14.13391
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	19.46099	0	14.90246	36.52283	4.4478	22.04797	22.13861	21.28369	12.68608	6.06935	8.41042	9.06162	3.44236	5.33338	2.00695	5.36935	5.75355	0.63749	0.49696	0.95999	0.53128	0.94976	2.43654	1.04987	8.74767	2.21234	3.69531	2.42051	0.99396	0.38782	15.00346	23.89451	18.21329	15.67994	2.45033	15.15812	20.07601	0.04813	11.729	11.54347	17.16049	14.15215	1.03846	1.83345	1.8047	1.27799	1.54201	0.46055	0.12847	2.55959	1.17857	1.22001	0.51808	0	0.03719	0.74666	0.53181	0.48314	2.82897	0.25751
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0	0	0	1.16516	0	0	0	0	0.05327	5.1019	0	2.15325	0	0	0.01054	8.72559	0.12519	0.79645	0	0.12708	0.12073	0.63986	0.17426	13.84528	0.76993	0	0	19.15258	0	0	0.02889	0	0.73272	0	15.26681	0	0	0.01637	0	0	0	0	0.01368	0	0	0	0.6361	37.38335	0	0.10761	0	2.8869	0	32.17455	0.08913	0.54091	0	0.47737	0.24234	0
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria	2.64983	1.29773	23.74784	0	0	0.26474	0	0.62306	0	4.237	0	8.67996	0	0	0	22.97415	15.51941	0	0.04601	0	6.08356	11.4439	1.11895	2.6792	0	0.33838	8.83381	0	11.01315	13.27786	0	0	0	0	0	0	0.22244	31.97504	0	0	0.34035	0	4.21791	5.17111	9.05351	14.63913	14.5066	0	11.64181	9.67182	3.03289	5.64353	34.52878	0.6088	33.07544	0	25.92164	18.70453	12.19342	19.05368
k__Bacteria|p__Firmicutes|c__Clostridia	16.02391	2.54557	10.26713	29.03734	7.78361	19.76665	12.81129	40.49874	12.26394	3.69267	17.49559	7.23852	15.26589	5.10753	8.80824	5.69896	13.62509	8.14991	4.41603	20.22759	8.75749	1.56123	14.4503	4.70869	9.34145	11.03642	6.79434	9.08479	3.87501	12.98789	17.2302	20.99806	24.18143	14.14827	15.99706	23.35937	25.78984	4.52679	3.16109	55.11541	20.05391	8.10419	2.74173	15.8111	9.9714	6.01855	2.38921	5.43312	5.16581	4.19215	11.38461	18.56721	4.70068	6.09987	2.44386	8.6188	3.51518	1.72772	3.13724	10.70269
