clade_name	clade_taxid	YK62	YK61	YK60	YK59	YK58	YK57	YK56	YK55	YK54	YK53	YK52	YK51	YK50	YK49	YK48	YK47	YK46	YK45	YK44	YK43	YK42	YK41	YK40	YK39	YK38	YK37	YK36	YK35	YK34	YK33	YK32	SH9	SH8	SH7	SH6	SH5	SH4	SH3	SH31	SH30	SH2	SH29	SH28	SH27	SH26	SH25	SH24	SH23	SH22	SH21	SH20	SH1	SH19	SH18	SH17	SH16	SH15	SH14	SH13	SH12	SH11	SH10
k__Archaea	2157	0	101477.0	174706.0	85187.0	191053.0	249577.0	57958.0	146452.0	84457.0	200676.0	29975.0	23137.0	78563.0	447774.0	52312.0	514128.0	152170.0	720939.0	633556.0	52973.0	11819.0	12091.0	4266.0	35230.0	5982.0	4121.0	98245.0	18267.0	6775.0	6747.0	91316.0	158563.0	17570.0	48672.0	3793.0	9601.0	9329.0	24510.0	194062.0	214733.0	4613.0	330648.0	69095.0	522295.0	96028.0	35663.0	341483.0	116478.0	69347.0	409933.0	302080.0	625.0	173732.0	169489.0	132331.0	231252.0	0	173022.0	132474.0	74032.0	197979.0	32727.0
k__Archaea|p__Candidatus_Thermoplasmatota	2157|2283796	0	0	0	0	0	0	73.0	0	0	0	0	2807.0	0	0	0	0	0	0	0	0	0	0	0	795.0	0	0	201.0	0	0	0	0	0	0	0	0	1588.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB41726	2157|2283796|	0	0	0	0	0	0	73.0	0	0	0	0	2807.0	0	0	0	0	0	0	0	0	0	0	0	795.0	0	0	201.0	0	0	0	0	0	0	0	0	1588.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB41726|o__OFGB41726	2157|2283796||	0	0	0	0	0	0	73.0	0	0	0	0	2807.0	0	0	0	0	0	0	0	0	0	0	0	795.0	0	0	201.0	0	0	0	0	0	0	0	0	1588.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB41726|o__OFGB41726|f__FGB41726	2157|2283796|||	0	0	0	0	0	0	73.0	0	0	0	0	2807.0	0	0	0	0	0	0	0	0	0	0	0	795.0	0	0	201.0	0	0	0	0	0	0	0	0	1588.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB41726|o__OFGB41726|f__FGB41726|g__GGB54055	2157|2283796||||	0	0	0	0	0	0	73.0	0	0	0	0	2807.0	0	0	0	0	0	0	0	0	0	0	0	795.0	0	0	201.0	0	0	0	0	0	0	0	0	1588.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB41726|o__OFGB41726|f__FGB41726|g__GGB54055|s__GGB54055_SGB75239	2157|2283796|||||	0	0	0	0	0	0	73.0	0	0	0	0	2807.0	0	0	0	0	0	0	0	0	0	0	0	795.0	0	0	201.0	0	0	0	0	0	0	0	0	1588.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB41726|o__OFGB41726|f__FGB41726|g__GGB54055|s__GGB54055_SGB75239|t__SGB75239	2157|2283796||||||	0	0	0	0	0	0	73.0	0	0	0	0	2807.0	0	0	0	0	0	0	0	0	0	0	0	795.0	0	0	201.0	0	0	0	0	0	0	0	0	1588.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota	2157|28890	0	101477.0	174706.0	85187.0	191053.0	249577.0	57885.0	146452.0	84457.0	200676.0	29975.0	20330.0	78563.0	447774.0	52312.0	514128.0	152170.0	720939.0	633556.0	52973.0	11819.0	12091.0	4266.0	34435.0	5982.0	4121.0	98044.0	18267.0	6775.0	6747.0	91316.0	158563.0	17570.0	48672.0	3793.0	8013.0	9329.0	24510.0	194062.0	214733.0	4613.0	330648.0	69095.0	522295.0	96028.0	35663.0	341483.0	116478.0	69347.0	409933.0	302080.0	625.0	173732.0	169489.0	132331.0	231252.0	0	173022.0	132474.0	74032.0	197979.0	32727.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0	101477.0	174706.0	85187.0	191053.0	249577.0	57885.0	146452.0	84457.0	200676.0	29975.0	20330.0	78563.0	447774.0	52312.0	514128.0	152170.0	720939.0	633556.0	52973.0	11819.0	12091.0	4266.0	34435.0	5982.0	4121.0	98044.0	18267.0	6775.0	6747.0	91316.0	158563.0	17570.0	48672.0	3793.0	8013.0	9329.0	24510.0	194062.0	214733.0	4613.0	330648.0	69095.0	522295.0	96028.0	35663.0	341483.0	116478.0	69347.0	409933.0	302080.0	625.0	173732.0	169489.0	132331.0	231252.0	0	173022.0	132474.0	74032.0	197979.0	32727.0
